Date;Price;Open;High;Low;Vol.;Change %
Jul 10, 2018;9,205.43;9176.29;9,213.87;9,123.22;7.01B;0.49%
Jul 09, 2018;9,160.62;8954.31;9,160.62;8,954.31;7.42B;2.80%
Jul 06, 2018;8,911.34;8873.90;9,035.45;8,736.36;8.64B;0.55%
Jul 05, 2018;8,862.18;9036.12;9,096.54;8,844.67;7.32B;-1.92%
Jul 04, 2018;9,035.49;9182.96;9,200.27;9,008.09;7.66B;-2.02%
Jul 03, 2018;9,221.54;9184.31;9,233.02;8,945.42;8.79B;0.45%
Jul 02, 2018;9,179.80;9369.24;9,393.10;9,107.55;7.67B;-2.13%
Jun 29, 2018;9,379.47;9100.60;9,381.02;9,078.24;7.99B;3.39%
Jun 28, 2018;9,071.73;9130.52;9,230.89;9,065.20;6.80B;-1.06%
Jun 27, 2018;9,168.66;9338.01;9,378.08;9,139.82;6.97B;-1.83%
Jun 26, 2018;9,339.37;9201.00;9,364.51;9,175.39;7.55B;0.16%
Jun 25, 2018;9,324.83;9472.91;9,494.44;9,320.66;6.99B;-0.90%
Jun 22, 2018;9,409.95;9247.02;9,416.09;9,172.30;6.94B;1.00%
Jun 21, 2018;9,316.68;9493.50;9,573.49;9,313.09;8.10B;-1.94%
Jun 20, 2018;9,501.34;9367.74;9,549.53;9,310.19;7.75B;0.92%
Jun 19, 2018;9,414.76;9775.97;9,815.01;9,336.70;10.80B;-5.31%
Jun 15, 2018;9,943.13;10077.43;10,108.53;9,902.63;7.22B;-1.40%
Jun 14, 2018;10,084.18;10124.76;10,213.79;10,054.37;5.87B;-0.76%
Jun 13, 2018;10,161.65;10280.08;10,288.00;10,161.39;6.29B;-1.49%
Jun 12, 2018;10,315.28;10187.31;10,323.00;10,124.98;6.44B;1.38%
Jun 11, 2018;10,175.35;10191.31;10,242.76;10,141.27;5.83B;-0.30%
Jun 08, 2018;10,205.52;10290.63;10,291.90;10,136.58;6.85B;-1.05%
Jun 07, 2018;10,313.85;10397.65;10,411.56;10,308.06;6.44B;-0.49%
Jun 06, 2018;10,365.13;10375.26;10,403.93;10,337.71;6.45B;-0.20%
Jun 05, 2018;10,385.61;10216.63;10,385.61;10,216.02;7.20B;1.78%
Jun 04, 2018;10,204.32;10192.04;10,237.60;10,148.69;6.89B;0.34%
